,date,I,R,D,C,I_p,C_p
0,2020-01-22,503,28,17,548,503.0,548.0
1,2020-01-23,595,30,18,643,595.0,643.0
2,2020-01-24,858,36,26,920,858.0,920.0
3,2020-01-25,1325,39,42,1406,1325.0,1406.0
4,2020-01-26,1970,49,56,2075,1367.2586786399524,2075.0
5,2020-01-27,2737,58,82,2877,2946.3091777658624,2877.0
6,2020-01-28,5277,101,131,5509,4602.177733925317,5509.0
7,2020-01-29,5834,120,133,6087,5819.5654754465695,6087.0
8,2020-01-30,7835,135,171,8141,13429.506988031171,8141.0
9,2020-01-31,9375,214,213,9802,14105.305497010582,9802.0
10,2020-02-01,11357,275,259,11891,10841.138387448407,11891.0
11,2020-02-02,15806,463,361,16630,15857.025659173112,16630.0
12,2020-02-03,18677,614,425,19716,16096.293714697722,19716.0
13,2020-02-04,22373,843,491,23707,25482.9041494832,23707.0
14,2020-02-05,25762,1115,563,27440,32126.354172964693,27440.0
15,2020-02-06,28477,1477,633,30587,31198.606184285287,30587.0
16,2020-02-07,31393,1999,718,34110,35419.996336313605,34110.0
17,2020-02-08,33413,2596,805,36814,36156.00142904365,36814.0
18,2020-02-09,35705,3219,905,39829,38423.09177993005,39829.0
19,2020-02-10,37424,3918,1012,42354,39216.10361624396,42354.0
20,2020-02-11,38638,4636,1112,44386,39908.01901886338,44386.0
21,2020-02-12,38560,5082,1117,44759,42463.29940113312,44759.0
22,2020-02-13,52309,6217,1369,59895,41899.94997296,59895.0
23,2020-02-14,56860,7977,1521,66358,40527.46995680592,66358.0
24,2020-02-15,57452,9298,1663,68413,64988.65024192775,68413.0
25,2020-02-16,57992,10755,1766,70513,89281.03638054099,70513.0
26,2020-02-17,58108,12462,1864,72434,63889.641685198185,72434.0
27,2020-02-18,58002,14206,2003,74211,59155.77087814027,74211.0
28,2020-02-19,56541,15962,2116,74619,59765.88434855475,74619.0
29,2020-02-20,54825,18014,2238,75077,60327.10736761204,75077.0
30,2020-02-21,54608,18704,2238,75550,55800.9644346307,75550.0
31,2020-02-22,51859,22699,2443,77001,51443.05144676896,77001.0
32,2020-02-23,51390,23187,2445,77022,52192.67598637794,77022.0
33,2020-02-24,49631,25015,2595,77241,50585.118927826334,77241.0
34,2020-02-25,47413,27676,2665,77754,48409.833710415325,77754.0
35,2020-02-26,45365,30084,2717,78166,47871.78725672963,78166.0
36,2020-02-27,42924,32930,2746,78600,43791.57494298824,78600.0
37,2020-02-28,39809,36329,2790,78928,40634.33870855575,78928.0
38,2020-02-29,37199,39320,2837,79356,38818.39735429672,79356.0
39,2020-03-01,34898,42162,2872,79932,35670.827144427545,79932.0
40,2020-03-02,32368,44854,2914,80136,32428.65086264391,80136.0
41,2020-03-03,29864,47450,2947,80261,30086.93067789246,80261.0
42,2020-03-04,27402,50001,2983,80386,28114.33905970123,80386.0
43,2020-03-05,25230,52292,3015,80537,25341.09580746324,80537.0
